Species_ID,Common_Name,Scientific_Name,Class,Order,Family,IUCN_Status,Risk_Score,Population_Trend,Native_Region,Countries,Habitat,Diet,Primary_Threats,Conservation_Actions,Key_Fact,Nepal_Relevance,Map_Latitude,Map_Longitude,Featured,IUCN_Source,Wikipedia_Source,Last_Reviewed
SP001,Tiger,Panthera tigris,Mammalia,Carnivora,Felidae,Endangered,4,Decreasing,Asia,India; Nepal; Bhutan; Bangladesh; China; Russia; Southeast Asia,Tropical/temperate forests; grasslands; mangroves,Carnivore,Habitat loss; fragmentation; poaching; prey depletion; conflict,Protected areas; anti-poaching; habitat corridors; prey recovery,Largest living cat species,Yes,27.5,84.4,Yes,https://www.iucnredlist.org/search?query=Panthera%20tigris&searchType=species,https://en.wikipedia.org/wiki/Tiger,2026-08-10
SP002,Asian Elephant,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Endangered,4,Decreasing,South and Southeast Asia,India; Nepal; Sri Lanka; Bangladesh; Bhutan; Myanmar; Thailand; Malaysia; Indonesia,Forests; grasslands; scrub,Herbivore,Habitat loss; fragmentation; conflict; poaching,Landscape connectivity; conflict reduction; protected areas; law enforcement,Major seed disperser and ecosystem engineer,Yes,27.2,88.0,Yes,https://www.iucnredlist.org/search?query=Elephas%20maximus&searchType=species,https://en.wikipedia.org/wiki/Asian_Elephant,2026-08-10
SP003,Red Panda,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Endangered,4,Decreasing,Eastern Himalaya and SW China,Nepal; India; Bhutan; China; Myanmar,Temperate forests with bamboo understory,Mostly bamboo,Forest loss; fragmentation; livestock pressure; trapping,Community forest protection; restoration; anti-poaching; corridors,Strongly dependent on cool bamboo-rich forests,Yes,27.7,87.7,Yes,https://www.iucnredlist.org/search?query=Ailurus%20fulgens&searchType=species,https://en.wikipedia.org/wiki/Red_Panda,2026-08-10
SP004,Gharial,Gavialis gangeticus,Reptilia,Crocodylia,Gavialidae,Critically Endangered,5,Decreasing,Northern Indian subcontinent,India; Nepal,Large deep rivers with sandbanks,Mostly fish,River modification; fishing nets; sand mining; pollution,River protection; captive breeding/release; fishing regulation; nest protection,Long narrow snout specialized for fish,Yes,27.5,84.3,Yes,https://www.iucnredlist.org/search?query=Gavialis%20gangeticus&searchType=species,https://en.wikipedia.org/wiki/Gharial,2026-08-10
SP005,Greater One-horned Rhinoceros,Rhinoceros unicornis,Mammalia,Perissodactyla,Rhinocerotidae,Vulnerable,3,Increasing,South Asia,India; Nepal,Alluvial grasslands; riverine forests; wetlands,Herbivore,Poaching; invasive plants; habitat pressure; disease,Protected areas; anti-poaching; translocation; habitat management,Chitwan is a major stronghold,Yes,27.5,84.4,Yes,https://www.iucnredlist.org/search?query=Rhinoceros%20unicornis&searchType=species,https://en.wikipedia.org/wiki/Greater_One-horned_Rhinoceros,2026-08-10
SP006,Snow Leopard,Panthera uncia,Mammalia,Carnivora,Felidae,Vulnerable,3,Decreasing,Central and South Asian mountains,Nepal; India; Bhutan; China; Mongolia; Pakistan; Afghanistan; Central Asia; Russia,Alpine/subalpine mountains; rocky slopes,Carnivore,Retaliatory killing; prey decline; habitat degradation; illegal trade; climate change,Community conservation; livestock insurance; anti-poaching; habitat protection,Adapted to steep high-elevation terrain,Yes,29.3,83.8,Yes,https://www.iucnredlist.org/search?query=Panthera%20uncia&searchType=species,https://en.wikipedia.org/wiki/Snow_Leopard,2026-08-10
SP007,Chinese Pangolin,Manis pentadactyla,Mammalia,Pholidota,Manidae,Critically Endangered,5,Decreasing,South and East Asia,Nepal; India; Bhutan; Bangladesh; China; Myanmar; Vietnam; Laos,Forests; shrublands; agricultural mosaics,Ants and termites,Illegal wildlife trade; hunting; habitat loss,Trade enforcement; anti-poaching; habitat protection; rescue,Only mammals with large protective keratin scales,Yes,27.8,85.3,No,https://www.iucnredlist.org/search?query=Manis%20pentadactyla&searchType=species,https://en.wikipedia.org/wiki/Chinese_Pangolin,2026-08-10
SP008,White-rumped Vulture,Gyps bengalensis,Aves,Accipitriformes,Accipitridae,Critically Endangered,5,Decreasing,South Asia,Nepal; India; Bangladesh; Pakistan; Cambodia; Myanmar,Open country; villages; wooded areas,Scavenger,Veterinary drug poisoning; poisoning; habitat change,Vulture-safe drugs/zones; safe feeding sites; breeding; monitoring,South Asian populations crashed after diclofenac exposure,Yes,27.4,84.5,No,https://www.iucnredlist.org/search?query=Gyps%20bengalensis&searchType=species,https://en.wikipedia.org/wiki/White-rumped_Vulture,2026-08-10
SP009,Slender-billed Vulture,Gyps tenuirostris,Aves,Accipitriformes,Accipitridae,Critically Endangered,5,Decreasing,South and Southeast Asia,Nepal; India; Bangladesh; Cambodia; Myanmar,Open woodland; plains; river valleys,Scavenger,Veterinary drug poisoning; poisoning; disturbance,Vulture-safe zones; captive breeding; monitoring,One of Asia's rarest vultures,Yes,27.6,84.7,No,https://www.iucnredlist.org/search?query=Gyps%20tenuirostris&searchType=species,https://en.wikipedia.org/wiki/Slender-billed_Vulture,2026-08-10
SP010,Bengal Florican,Houbaropsis bengalensis,Aves,Otidiformes,Otididae,Critically Endangered,5,Decreasing,South and Southeast Asia,Nepal; India; Cambodia,Tall alluvial grasslands,Omnivore,Grassland conversion; inappropriate burning; agriculture; disturbance,Grassland management; protected areas; breeding-season protection,Depends on a few remaining tall-grassland landscapes,Yes,27.4,84.4,No,https://www.iucnredlist.org/search?query=Houbaropsis%20bengalensis&searchType=species,https://en.wikipedia.org/wiki/Bengal_Florican,2026-08-10
